title,records,taxa,org_country
Taxonomic Information Sytem for the Belgian coastal area (EurOBIS),20346,6466,
Zoology (Museum of Evolution - Uppsala),20172,3841,SE
Colección Nacional de Peces del IBUNAM,20089,1068,MX
Bird Observation Data,20075,78,TW
Broedvogels - Atlas of the breeding birds in Flanders 2000-2002,20025,34,BE
Canadian Museum of Nature - Fish Collection (OBIS Canada),19990,969,
TNHC Ichthyology Collection,19937,888,US
Birds (NSMK-BI),19784,90,KR
RAVON (NL) - Fish observations extracted from historic reports 1860-1907,19700,4,NL
Wildbook for Whale Sharks,19530,1,AU
Echinoderm collection (IE) of the Muséum national d'Histoire naturelle (MNHN - Paris),19426,1923,FR
SOMBASE BIOCONSTRUCTORS,19419,3283,GB
NINA Vanndata øvrige arter,19419,100,NO
NRM-Fishes,19363,2755,SE
Edaphobase,19096,600,DE
British Lichen Society - BLS Lichen Database: Scotland,19037,119,GB
Zooplankton in the bay of Biscay (1995-2004 Yearly spring DEPM surveys),18837,46,ES
UWBM Ornithology Collection,18583,390,US
NCOS1959_Crustacea (OBIS China),18567,587,
Field Museum of Natural History (Zoology) Bird Collection,18513,442,US
Gwaii Haanas Invertebrates (OBIS Canada),18147,1986,
CUMV Fish Collection (Arctos),17763,1793,US
Marine and Coastal Management - Demersal Surveys (years 1996-2000) (AfrOBIS),17754,257,
Natal Museum - Mollusc Collection (AfrOBIS),17513,1600,
Estonian Nature Observations Database,17417,107,EE
Birds (KIEE-BI),17339,60,KR
Vertebrates of the Gothenburg Natural History Museum (GNM),17199,1379,SE
SINBIOTA - marine data (OBIS South America, BRAZIL),17164,776,
Hexacoral Database,17088,2527,
SLU Aqua Institute of Freshwater Research National register of survey test-fishing - NORS,16905,37,SE
Sponges of Rathlin Island,16746,894,IE
Monitoring data from the federal state North Rhine-Westphalia (Germany),16736,114,DE
Canadian Museum of Nature Bird Collection,16727,189,CA
Macrobel: Long term trends in the macrobenthos of the Belgian Continental Shelf (EurOBIS),16560,261,
Inventaire National du Patrimoine Naturel : Données des campagnes de Suivi Aérien de la Mégafaune Marine (SAMM) de France métropolitaine,16555,37,FR
Ontario Breeding Bird Atlas 2001-2005,16524,62,CA
Sheffield Bird Study Group - Sheffield Bird Study Group (Yorkshire records),16484,71,GB
Conchological Society of Great Britain &amp; Ireland - Mollusc (non-marine): 1999 Atlas Dataset  for Great Britain and Ireland,16215,23,GB
BC Coastal Waterbird Survey,16199,98,CA
AIMS - GBR Nearshore Coral Diversity (OBIS Australia),16077,283,
Marine invertabrate(Mollusca) specimen database of Osaka Museum of Natural History,15987,3824,JP
Fieldjournal.org observation database,15985,175,FI
Canadian Lakes Loon Survey,15883,1,CA
Dutch Centre For Field Ornithology (SOVON) - Breeding Bird Monitoring Program,15872,9,NL
Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum,15769,2638,US
(Table T2) Foraminifer distribution in ODP Site 188-1165 sediments,15744,64,DE
UMMZ Birds Collection,15734,493,US
NSW herbarium collection,15668,1941,AU
Zoological Museum Amsterdam, University of Amsterdam (NL) - Porifera,15660,2245,NL
Collection Crustacea - ZMB,15635,4683,DE
Colección Nacional de Invertebrados - Museo Argentino de Ciencias Naturales 'Bernardino Rivadavia',15628,3920,AR
Phytoplankton Universidad Arturo Prat (OBIS South America, SOUTH PACIFIC NODE),15561,119,
Freshwater fish collection,15526,105,JP
Dr Francis Rose Field Notebook Project - Field Notebook Records of Dr Francis Rose 1950's to 1990's,15517,108,GB
Academy of Natural Sciences OBIS Mollusc Database,15293,2176,
Naturalis Biodiversity Center (NL) - Micropaleontology,15206,1872,NL
SPF-Algae - Herbário da Universidade de São Paulo - Coleção de Algas,15155,1644,BR
Vascular plants collection (P) of the Muséum national d'Histoire Naturelle (MNHN - Paris),15094,192,FR
observe_tuna_ecoscope,15091,8,FR
BioFokus,15006,769,NO
Danish Mycological Society, fungal records database,14988,425,DK
Botanical Society of the British Isles - Vascular Plants Database additions since 2000,14873,31,GB
Crustacea collection of National Museum of Nature and Science,14698,2808,JP
Algae Collection of National Museum of Nature and Science,14599,1546,JP
Benthic foraminifera abundance of ODP Site 184-1143,14588,62,DE
SeamountsOnline (seamount biota) (CoML),14524,2956,
Ornithology Collection Non Passeriformes - Royal Ontario Museum,14431,383,CA
Ministerio de Medio Ambiente, y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007, Aves Reproductoras,14375,58,ES
Birds (KIDR-BI),14258,84,KR
Visdoorgangen - Fish passage places in Flanders, Belgium,14236,27,BE
Molluscus specimens of Toyohashi Museum of Natural History,14234,1785,JP
NCSM Fishes Collection,14199,1053,US
SOMBASE,14192,1895,GB
North Carolina State Museum of Natural Sciences Fishes Collection,13953,1043,US
Mollusca collection of National Museum of Nature and Science,13877,2891,JP
Collection Polychaeta SMF,13741,1547,DE
ABBBS Bird Banding records from the Australian Antarctic Territory and Heard Island.,13628,21,AU
Historical quantitative benthos grab samples from the Southern Baltic Sea (EurOBIS),13373,197,
CM Birds Collection,13198,436,US
iziko South African Museum - Fish Collection (AfrOBIS),13099,2008,
Trekvis - Migratory fishes in the river Scheldt,13060,42,BE
Zoological Museum Amsterdam, University of Amsterdam (NL) – Mollusca_Conidae,13031,510,NL
CNCR/Colección Nacional de Crustaceos,13015,939,MX
The First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.,12892,87,IE
Time slice 2 of planktic foraminifera of the last glacial maximum,12780,28,DE
Senckenberg - CeDAMar Resource,12677,2955,
Geographic distribution of dinoflagellate cysts in surface sediments,12658,29,DE
Composition of planktonic foraminifera species from 310 sediments samples during the last glacial maximum,12599,22,DE
The Scottish Ornithologists' Club - Fife non-breeding bird 5km atlas 1991-99,12514,90,GB
Planktic foraminifera assemblage in sediment core MD97-2142,12375,24,DE
Invertebrate Paleontology Division, Yale Peabody Museum,12364,1493,US
Queen Victoria Museum Art Gallery provider for OZCAM,12315,1932,AU
Countryside Council for Wales - Skomer Marine Nature Reserve (MNR) Marine Monitoring Programme,11984,967,GB
